Date,Security ID,Base Currency,Pricing Frequency,Investment Type,Domicile,Portfolio Currency,Fund Size (USD),NAV (Daily - USD),Asset Allocation - Cash (%),Asset Allocation - Equity (%),Asset Allocation - US Equity (%),Asset Allocation - Non-US Equity (%),Asset Allocation - Bonds (%),Asset Allocation - US Bonds (%),Asset Allocation - Non-US Bonds (%),Asset Allocation - Other (%),Fixed Income - Government (%),Fixed Income - Municipal (%),Fixed Income - Corporate (%),Fixed Income - Securitized (%),Fixed Income - Cash Equivalents (%),Fixed Income - Derivatives (%),NAV_pct_change,Fund_Size_pct_change,Cluster
2015-05-31,4d25ff40,Euro,Semi-Monthly,Open-End Fund,Italy,Euro,1e-08,950840.363,40.11,55.22,-0.21,55.43,0.0,0.0,0.0,4.67,0.0,0.0,4.67,0.0,40.11,0.0,0.0,1e-08,4
2015-03-31,4d27626b,Pound Sterling,Daily,Open-End Fund,Luxembourg,,1e-08,2.949,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0
2015-04-30,4d27626b,Pound Sterling,Daily,Open-End Fund,Luxembourg,,1e-08,3.108,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.05391658189216697,1e-08,0
2015-05-31,4d27626b,Pound Sterling,Daily,Open-End Fund,Luxembourg,,1e-08,3.188,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.025740025740025763,1e-08,0
2015-03-31,4d2bf6f9,Euro,Daily,Open-End Fund,Ireland,Euro,3042445378.0,15.785,8.99,0.0,0.0,0.0,90.25,5.87,84.38,0.75,53.28,0.0,37.73,0.0,8.99,0.0,1e-08,1e-08,3
2015-04-30,4d2bf6f9,Euro,Daily,Open-End Fund,Ireland,Euro,3161026956.0,16.303,6.82,0.0,0.0,0.0,92.21,8.89,83.33,0.97,55.07,0.0,38.12,0.0,6.82,0.0,0.032815964523281727,0.03897574591066322,3
2015-05-31,4d2bf6f9,Euro,Daily,Open-End Fund,Ireland,Euro,3318103490.0,16.421,3.72,0.0,0.0,0.0,95.38,16.12,79.26,0.9,61.51,0.0,34.77,0.0,3.4,0.0,0.007237931669017872,0.049691614841135934,3
2015-03-31,4d34e267,Euro,Daily,Insurance Product Fund,Belgium,Euro,161815554.1,194.547,3.65,0.02,0.0,0.02,75.22,16.29,58.93,21.11,42.82,0.04,23.54,10.24,3.98,1.35,1e-08,1e-08,3
2015-04-30,4d34e267,Euro,Daily,Insurance Product Fund,Belgium,Euro,170664171.6,203.941,3.46,0.02,0.0,0.02,68.09,17.94,50.15,28.43,39.29,0.03,21.33,10.99,5.32,-2.55,0.0482865323032482,0.05468335568366722,3
2015-05-31,4d34e267,Euro,Daily,Insurance Product Fund,Belgium,Euro,168961923.2,201.554,4.81,0.02,0.0,0.02,74.47,20.36,54.11,20.7,43.42,0.03,22.67,11.94,6.67,-2.56,-0.011704365478251044,-0.009974257537719855,3
2015-03-31,4d731f73,Euro,Monthly,Insurance Product Fund,Italy,Euro,175881437.4,16.042,19.93,0.0,0.0,0.0,80.07,46.34,33.73,0.0,80.07,0.0,0.0,0.0,19.93,0.0,1e-08,1e-08,3
2015-04-30,4d731f73,Euro,Monthly,Insurance Product Fund,Italy,Euro,169775717.2,15.472,19.93,0.0,0.0,0.0,80.07,46.34,33.73,0.0,80.07,0.0,0.0,0.0,19.93,0.0,-0.035531729210821705,-0.03471497782971844,3
2015-05-31,4d731f73,Euro,Monthly,Insurance Product Fund,Italy,Euro,174467108.5,15.825,19.93,0.0,0.0,0.0,80.07,46.34,33.73,0.0,80.07,0.0,0.0,0.0,19.93,0.0,0.02281540847983443,0.02763287575733475,3
2015-03-31,4d95eb22,US Dollar,Daily,Exchange-Traded Fund,Luxembourg,US Dollar,1276745928.0,65.296,0.0,99.36,1.21,98.15,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,1e-08,0.0,1e-08,1e-08,1
2015-04-30,4d95eb22,US Dollar,Daily,Exchange-Traded Fund,Luxembourg,US Dollar,1418110888.0,70.193,0.0,99.35,1.15,98.21,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,1e-08,0.0,0.0749969370252388,0.1107228594975398,1
2015-05-31,4d95eb22,US Dollar,Daily,Exchange-Traded Fund,Luxembourg,US Dollar,1476523785.0,71.7,0.01,99.05,1.29,97.76,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.01,0.0,0.021469377288333646,0.04119064136259554,1
2015-03-31,4ddb79df,Pound Sterling,Daily,Open-End Fund,United Kingdom,Pound Sterling,16164549.95,0.723,0.51,96.5,0.0,96.5,0.0,0.0,0.0,2.99,0.0,0.0,2.99,0.0,0.51,0.0,1e-08,1e-08,1
2015-04-30,4ddb79df,Pound Sterling,Daily,Open-End Fund,United Kingdom,Pound Sterling,16687784.22,0.747,1.28,95.58,0.0,95.58,0.0,0.0,0.0,3.14,0.0,0.0,3.04,0.0,1.28,0.0,0.03319502074688807,0.032369244526971874,1
2015-05-31,4ddb79df,Pound Sterling,Daily,Open-End Fund,United Kingdom,Pound Sterling,16734214.83,0.798,0.95,95.29,0.0,95.29,0.0,0.0,0.0,3.75,0.0,0.0,3.39,0.0,0.95,0.0,0.06827309236947787,0.00278231126361006,1
2015-03-31,4e3815d8,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,107670266.0,25.536,0.0,98.69,0.0,98.69,0.0,0.0,0.0,1.31,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1
